study,cancer_type,protein,transcript,expression
GTEX,GTEX Adipose Tissue,Isoform 1,ENST00000345732,"{""label"": ""ENST00000345732"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-2.245, -3.458, -4.035, -2.635, -4.608, -5.012, -3.458, -3.626, -4.293, -4.293, -3.816, -3.308, -3.816, -3.308, -2.315, -2.932, -3.308, -3.458, -1.884, -4.293, -3.308, -3.308, -2.178, -2.388, -2.548, -4.608, -3.458, -4.293, -3.171, -2.315, -3.816, -3.308, -3.626, -4.035, -4.035, -2.114, -3.626, -2.548, -3.047, -0.1828, -3.308, -2.932, -2.635, -4.035, -2.548, -5.574, -1.938, -2.548, -2.548, -4.035, -3.171, -3.626, -4.293, -4.608, -3.626, -3.171, -4.608, -3.171, -2.388, -2.245, -4.608, -1.117, -4.608, -1.355, -3.171, -4.035, -4.035, -3.308, -4.293, -3.626, -3.308, -3.308, -3.171, -2.826, -3.171, -1.938, -4.035, -3.458, -3.626, -4.608, -2.548, -4.293, 0.4865, -3.626, -2.548, -4.035, 0.4761, -3.047, -3.171, -5.012, -3.171, -4.608, -2.635, -3.458, -0.5125, -1.781, -3.626, -3.458, -1.47, -5.012, -1.117, -5.012, -2.388, -3.047, -1.685, -3.626, -4.035, -5.012, -3.458, -2.932, -4.608, -5.012, -3.171, -2.932], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
GTEX,GTEX Adipose Tissue,Isoform 1,ENST00000389939,"{""label"": ""ENST00000389939"", ""med"": -4.608, ""q1"": -9.966, ""q3"": -2.114, ""whislo"": -9.966, ""whishi"": 4.836, ""fliers"": [], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
GTEX,GTEX Adipose Tissue,Isoform 1,ENST00000534668,"{""label"": ""ENST00000534668"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-2.114, -4.035, -2.466, -1.884, 3.75, 3.496, 3.444, -2.315, -2.635, -2.548, -1.639, 0.8883, 0.2277, -0.9971, 0.7832, -3.458, -2.178, -1.149, -1.086, -0.9132, -2.727, -1.781, -1.51, -5.012, -0.3201, -2.727, -1.026, -2.635, -3.171, -2.635, -1.51, -0.1993, -6.506, 0.0718, 2.556, -3.458, -1.283, -0.9132, -1.086, -3.816, 0.8327, -3.626, -1.149, 0.8805, -1.086, -2.826, -2.826, -0.0725, -1.283, -1.781, -0.8084, 1.239, -3.626, -0.9971, -3.308, -0.4325, -0.8084, -0.0277, -1.181, -2.727, -1.283, -3.816, -4.293, -2.548, -1.884, -2.315, -3.816], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
GTEX,GTEX Adipose Tissue,Isoform 2,ENST00000528313,"{""label"": ""ENST00000528313"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-2.245, -3.308, -3.047, -4.035, -2.315, -3.308, -4.035, -2.727, -1.732, -3.458, -2.315, -0.7588, -1.51, -5.574, -2.466, -2.932, -5.574, -3.816, -3.308, -3.816, -5.012, -3.171, -6.506, -3.458, -2.932, -6.506, -6.506, -3.047, -4.293, -1.994, -6.506, -4.608, -4.293, -2.466, -6.506, -1.639, -4.035, -3.626, -4.608, -4.293, -3.626, -4.035, -4.035, -2.826, -1.938, -3.626, -3.458, -3.047, -4.608, -5.012, -4.035, -3.626, -5.012, -2.548, -2.548, -5.574, -3.626, -2.178, -2.466, -5.012, -4.035, -3.458, -1.938, -5.012, -5.012, -5.574, -3.171, -2.826, -4.035, -3.047, -4.608, -3.626, -6.506, -3.308, -4.293, -2.932, -3.047, -2.932, -4.608, -6.506, -3.626, -2.932, -3.626, -3.626, -2.315, -2.727, -5.012, -2.178, -1.884, -4.293, -2.932, -2.727, -3.458, -3.458, -4.293, -4.293, -5.574, -3.171, -3.047, -5.574, -1.884, -5.012, -4.293, -4.035, -3.816, -3.816, -3.308, -5.012, -1.056, 0.0158, -3.308, -3.816, -4.293, -6.506, -5.574, -4.608, -5.574, -6.506, -2.114, -2.826, -3.171, -1.639, -2.388, -3.458, -1.355, -4.608], ""color"": [0.9882352941176471, 0.5529411764705883, 0.3843137254901961]}"
GTEX,GTEX Adipose Tissue,Isoform 3,ENST00000532073,"{""label"": ""ENST00000532073"", ""med"": -2.727, ""q1"": -4.4505, ""q3"": -1.3005, ""whislo"": -6.506, ""whishi"": 3.025, ""fliers"": [-9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, 4.901, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, 5.128, -9.966, -9.966, -9.966, -9.966, 5.691, -9.966, 4.933, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966], ""color"": [0.5529411764705883, 0.6274509803921569, 0.796078431372549]}"
GTEX,GTEX Adipose Tissue,Isoform 4,ENST00000532491,"{""label"": ""ENST00000532491"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-0.8084, -1.781, -2.114, -3.458, -2.932, -0.6193, -2.635, -2.635, -0.3022, -0.1504, -1.595, -3.308, -3.458, -2.826], ""color"": [0.9058823529411765, 0.5411764705882353, 0.7647058823529411]}"
GTEX,GTEX Adipose Tissue,Isoform 5,ENST00000533306,"{""label"": ""ENST00000533306"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -4.608, ""whislo"": -9.966, ""whishi"": 3.326, ""fliers"": [], ""color"": [0.6509803921568628, 0.8470588235294118, 0.32941176470588235]}"
GTEX,GTEX Adrenal Gland,Isoform 1,ENST00000345732,"{""label"": ""ENST00000345732"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-4.293, -3.626, -3.308, -4.035, -5.574, -5.012, -3.171, -4.608, -2.635, -4.608, -4.035, -4.608, -4.035, -3.626, -4.035, -4.608, -4.035, -4.035, -3.308, -3.308, -4.035, -3.816, -3.816, -3.458, -3.816, -4.293, -5.012, -3.626, -3.171, -3.047, -3.816], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
GTEX,GTEX Adrenal Gland,Isoform 1,ENST00000389939,"{""label"": ""ENST00000389939"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-2.388, -3.626, -3.047, -2.635, -2.315, -0.5332, -5.574, -2.826, -0.4719, -0.5973, -3.171, -3.626, -3.458, -2.826, -4.293, -4.293, -1.056, -5.012, -6.506, -3.626, -2.114, -1.595, -3.816, -1.781, -1.431, -5.574, -3.171], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
GTEX,GTEX Adrenal Gland,Isoform 1,ENST00000534668,"{""label"": ""ENST00000534668"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-2.315, -3.308, -6.506, -5.574, -2.932, -4.293, -1.639, -0.7346, -5.012], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
