study,cancer_type,protein,transcript,expression
GTEX,GTEX Adipose Tissue,Isoform 1,ENST00000269571,"{""label"": ""ENST00000269571"", ""med"": 1.476, ""q1"": 0.745, ""q3"": 2.0465, ""whislo"": -1.149, ""whishi"": 3.919, ""fliers"": [4.659, -1.283, -1.639, -2.114, -9.966, -1.214, -2.315, -1.51, -2.635, -9.966, -1.884, -1.214, -1.47, -9.966], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
GTEX,GTEX Adipose Tissue,Isoform 2,ENST00000445658,"{""label"": ""ENST00000445658"", ""med"": -3.458, ""q1"": -9.966, ""q3"": -2.146, ""whislo"": -9.966, ""whishi"": 2.173, ""fliers"": [], ""color"": [0.9882352941176471, 0.5529411764705883, 0.3843137254901961]}"
GTEX,GTEX Adipose Tissue,Isoform 3,ENST00000578199,"{""label"": ""ENST00000578199"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -3.308, ""whislo"": -9.966, ""whishi"": -1.056, ""fliers"": [], ""color"": [0.5529411764705883, 0.6274509803921569, 0.796078431372549]}"
GTEX,GTEX Adipose Tissue,Isoform 3,ENST00000584014,"{""label"": ""ENST00000584014"", ""med"": -2.635, ""q1"": -3.816, ""q3"": -1.831, ""whislo"": -5.574, ""whishi"": 0.3115, ""fliers"": [-9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966], ""color"": [0.5529411764705883, 0.6274509803921569, 0.796078431372549]}"
GTEX,GTEX Adipose Tissue,Isoform 4,ENST00000578502,"{""label"": ""ENST00000578502"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -2.388, ""whislo"": -9.966, ""whishi"": 0.1776, ""fliers"": [], ""color"": [0.9058823529411765, 0.5411764705882353, 0.7647058823529411]}"
GTEX,GTEX Adipose Tissue,Isoform 5,ENST00000578709,"{""label"": ""ENST00000578709"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-3.308, -1.831, -2.932, -2.932, -2.932, -3.171, -3.171], ""color"": [0.6509803921568628, 0.8470588235294118, 0.32941176470588235]}"
GTEX,GTEX Adipose Tissue,Isoform 6,ENST00000580074,"{""label"": ""ENST00000580074"", ""med"": -1.431, ""q1"": -9.966, ""q3"": 0.1257, ""whislo"": -9.966, ""whishi"": 3.598, ""fliers"": [], ""color"": [1.0, 0.8509803921568627, 0.1843137254901961]}"
GTEX,GTEX Adipose Tissue,Isoform 7,ENST00000582818,"{""label"": ""ENST00000582818"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-2.635, -2.635, -0.2159, -0.6416, -0.6416, -0.1504, -0.0877, -0.7588, -0.9406, -0.9971, 0.5666, -0.7588, 0.099, -0.1665, -0.1665, -1.685, -4.608, 0.679, -0.6193, 1.351, -0.4131, -1.248, -0.3752, -1.086, -0.9686, -1.51, -2.388, -1.392, -0.3752, -2.053, -0.8084, -0.1187, -0.2159, -0.0877, -1.732, -1.831, -1.938, 0.6145, -6.506, -1.117, -1.214, -0.9971, 0.5859, -2.245, -1.117, -1.685, -0.1504, -3.047, -0.1345, -1.47, -0.6416, 0.2522, -1.552, -5.574, -2.388, 1.311, -2.727, -0.3752, -0.7834, -1.595, 0.679, -3.047, -2.635, -0.1031, -4.035, 0.3573, -0.2328], ""color"": [0.8980392156862745, 0.7686274509803922, 0.5803921568627451]}"
GTEX,GTEX Adipose Tissue,Isoform 8,ENST00000584450,"{""label"": ""ENST00000584450"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -4.035, ""whislo"": -9.966, ""whishi"": -0.6643, ""fliers"": [], ""color"": [0.7019607843137254, 0.7019607843137254, 0.7019607843137254]}"
GTEX,GTEX Adipose Tissue,Isoform 9,ENST00000584601,"{""label"": ""ENST00000584601"", ""med"": -3.458, ""q1"": -9.966, ""q3"": -2.315, ""whislo"": -9.966, ""whishi"": -0.8863, ""fliers"": [], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
